"FullID"	"Site"	"Sector"	"SampleDate"	"IDSample"	"Succession"	"SiteName"	"Canton"	"Municipiality"	"Altitude"	"Habitat"	"X_WGS84"	"Y_WGS84"	"SiteSectorCentroidsX"	"SiteSectorCentroidsY"	"Light"	"Temperature"	"Continentality"	"Humidity"	"Soil.reaction"	"Nitrogen"	"Salt"	"CanopyCover"	"Moss_g"	"Distance"	"MossHabitat"	"mb.moss.prok"	"mb.moss.euk"
"CB1N01M"	"CB"	"1"	"20.08.2018"	"C1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534107.154282553	162748.765198415	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.06676027475753	-0.0202213104623438	-0.597913868467468	-1.43801552154151	-1.13924287907305	-0.597915989359693
"CB1N02M"	"CB"	"1"	"20.08.2018"	"P0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534107.154282553	162748.765198415	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.06676027475753	-0.368971794187494	-0.597913868467468	-1.43801552154151	-0.818820655319865	-1.23582038263491
"CB2N01M"	"CB"	"2"	"20.08.2018"	"O0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534111.244728941	162743.099269502	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.15411183294362	-1.76793037963279	-0.598027538126292	-1.89269336944262	-1.16191148628119	-0.555543668051544
"CB2N02M"	"CB"	"2"	"20.08.2018"	"J1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534111.244728941	162743.099269502	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.15411183294362	-0.829073728956169	-0.598027538126292	-1.89269336944262	-1.43534460878892	-0.150412696611851
"CB3N01M"	"CB"	"3"	"20.08.2018"	"U0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534110.637973629	162732.644645238	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.2612083692944	-1.72892910997795	-0.598270928924105	-1.89269470285503	-0.924023453752798	-0.274687263628314
"CB3N02M"	"CB"	"3"	"20.08.2018"	"B0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534110.637973629	162732.644645238	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.2612083692944	-0.311882979185484	-0.598270928924105	-1.89269470285503	-0.942891897831745	-0.301303641201458
"CB4N01M"	"CB"	"4"	"20.08.2018"	"W0"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534106.103402558	162722.886976577	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.30632466662791	-1.78488745339576	-0.59851446995425	-2.20873527841269	-1.8445281718397	-0.982849251932825
"CB4N02M"	"CB"	"4"	"20.08.2018"	"M1"	"Moss"	"CB - Champ-Buet"	"VD"	"Bournens"	-1.63113915531486	"Fen"	6.57847621058883	46.6126154594919	534106.103402558	162722.886976577	-0.401785231135104	1.64906715085928	-1.7988298938396	0.227028237324624	1.69785998278702	1.88460207453076	1.5017330796658	-1.30632466662791	-1.23491302768333	-0.59851446995425	-2.20873527841269	-3.54658435419517	-1.04150533441776
"LE1N01M"	"LE"	"1"	"24.08.2018"	"K1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575555.176498621	234653.021217775	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	1.48282982500215	-1.71932010151227	1.22988869806956	0.622297850991459	-0.282082028933817	-0.533168004386531
"LE1N02M"	"LE"	"1"	"24.08.2018"	"E1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575555.176498621	234653.021217775	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	1.48282982500215	-0.895206316631765	1.22988869806956	0.622297850991459	-0.0227111399304265	-1.03196792978057
